ID,Class
8678,drilling
8679,engine_idling
8681,jackhammer
8682,car_horn
8684,street_music
8685,drilling
8690,street_music
8691,street_music
8693,car_horn
8694,street_music
8695,air_conditioner
8699,street_music
8701,air_conditioner
8703,gun_shot
8704,siren
8705,jackhammer
8706,siren
8707,gun_shot
8709,dog_bark
8710,street_music
8711,dog_bark
8712,jackhammer
8713,dog_bark
8714,engine_idling
8715,siren
8716,children_playing
8717,jackhammer
8720,street_music
8721,engine_idling
8722,dog_bark
8723,street_music
8724,children_playing
8725,engine_idling
8726,dog_bark
8727,engine_idling
8728,engine_idling
8729,air_conditioner
